model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta
total_mean_severity,IRAK2,-0.056194555921705296,0.3209714832557217,-0.7257293376078393,0.6133402257644287,-0.17507647517999111,0.8627798450558609,20.0,26,,,0.9839806753369736,122
total_mean_severity,TNFSF9,-0.0567392517909863,0.18287143304317025,-0.4382023766681613,0.32472387308618866,-0.3102685359150214,0.7595667933323881,20.0,26,,,0.9839806753369736,123
total_mean_severity,NMUR1,-0.05884665848785908,0.20405784088670442,-0.4845038557055126,0.3668105387297944,-0.28838224609331,0.7760216855326841,20.0,26,,,0.9839806753369736,124
total_mean_severity,EDN1,-0.05968269152209374,0.31717341506008384,-0.7212948417819042,0.6019294587377167,-0.18817053601667003,0.8526391004182166,20.0,26,,,0.9839806753369736,125
total_mean_severity,IFNAR1,-0.0604080407844767,0.3152552198682541,-0.7180189059894092,0.5972028244204558,-0.19161630633656554,0.8499747863742663,20.0,26,,,0.9839806753369736,126
total_mean_severity,GCH1,-0.06857004647904202,0.2692150803297547,-0.6301428634996462,0.4930027705415622,-0.2547035864226191,0.8015526750047705,20.0,26,,,0.9839806753369736,127
total_mean_severity,MYC,-0.06859172371761253,0.22670167589223109,-0.5414831330627132,0.4042996856274882,-0.30256381408587163,0.7653465843913647,20.0,26,,,0.9839806753369736,128
total_mean_severity,ATP2C1,-0.06886630167915096,0.27114521563205435,-0.6344653103886296,0.4967327070303277,-0.2539830972809896,0.8021014763024508,20.0,26,,,0.9839806753369736,129
total_mean_severity,SPHK1,-0.06932832156239306,0.2635419497815124,-0.6190671956277967,0.4804105525030105,-0.2630637043547307,0.7951924961790129,20.0,26,,,0.9839806753369736,130
total_mean_severity,HRH1,-0.07408006584546097,0.23174293393875448,-0.5574873552038443,0.40932722351292233,-0.31966483114017624,0.7525375957554663,20.0,26,,,0.9839806753369736,131
total_mean_severity,IRF1,-0.0760564651147966,0.2513542496545011,-0.6003722422090173,0.44825931197942415,-0.302586748460947,0.7653293588077111,20.0,26,,,0.9839806753369736,132
total_mean_severity,ATP2A2,-0.08550165537400403,0.21407767583654924,-0.5320598620446705,0.3610565512966625,-0.39939547661796143,0.693834749452629,20.0,26,,,0.9839806753369736,133
total_mean_severity,ACVR2A,-0.09028028218637352,0.28740270773939,-0.689791825175967,0.50923126080322,-0.3141246750821762,0.7566794581784757,20.0,26,,,0.9839806753369736,134
total_mean_severity,NFKB1,-0.09842469100130223,0.26414278606647884,-0.6494168875949368,0.4525675055923323,-0.3726192657653385,0.7133513596368939,20.0,26,,,0.9839806753369736,135
total_mean_severity,PVR,-0.11050558341249392,0.22126068339253538,-0.5720472812863818,0.35103611446139393,-0.49943614797775693,0.6229218690437633,20.0,26,,,0.9839806753369736,136
total_mean_severity,CCL2,-0.11319265384661172,0.2210578206991551,-0.5743111875572945,0.34792587986407103,-0.5120499853323865,0.6142240495982205,20.0,26,,,0.9823353820001004,137
total_mean_severity,SELENOS,-0.11777455117714625,0.34794965639476677,-0.8435848159053372,0.6080357135510448,-0.33848158494378555,0.7385279018154187,20.0,26,,,0.9839806753369736,138
